,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
276,13500000,1050,Belapur,2,1,1
277,18000000,1335,Belapur,2,1,1
278,19000000,1267,Belapur,3,1,1
279,14000000,1020,Belapur,2,1,0
280,19500000,1600,Belapur,3,1,0
281,15500000,1300,Belapur,2,1,0
282,11500000,1000,Belapur,2,1,0
283,27000000,2200,Belapur,3,1,0
284,25500000,1900,Belapur,3,1,0
285,25400000,1900,Belapur,3,1,0
286,22500000,1800,Belapur,3,1,0
287,15900000,1090,Belapur,2,1,0
288,17500000,1335,Belapur,2,1,1
289,25000000,1650,Belapur,3,1,0
290,13000000,1001,Belapur,2,1,0
291,22000000,1800,Belapur,3,1,0
292,14000000,1225,Belapur,2,1,0
293,25000000,1850,Belapur,3,1,0
294,23500000,1850,Belapur,3,0,0
295,23000000,1850,Belapur,3,1,0
296,5500000,425,Bhandup West,1,0,0
297,6800000,543,Bhandup West,1,1,1
298,14000000,800,Bhandup West,2,1,1
299,9200000,556,Bhandup West,1,0,1
300,13000000,775,Bhandup West,1,1,1
301,21500000,1225,Bhandup West,3,1,1
302,26500000,1740,Bhandup West,3,1,0
303,20500000,1015,Bhandup West,3,1,1
304,21500000,1264,Bhandup West,3,1,0
305,30900000,2066,Bhandup West,3,1,1
306,36100000,2065,Bhandup West,3,1,1
307,55599999,3181,Bhandup West,4,1,1
308,27900000,1865,Bhandup West,3,0,1
309,15900000,1200,Bhandup West,2,1,0
310,30000000,2000,Bhandup West,3,0,1
311,59600000,3975,Bhandup West,4,0,1
312,45700000,3050,Bhandup West,4,0,1
313,23700000,1585,Bhandup West,2,0,1
314,26200000,1750,Bhandup West,3,0,1
315,22100000,1475,Bhandup West,2,0,1
316,30900000,2065,Bhandup West,3,0,1
317,7800000,575,Bhandup West,1,1,0
318,9000000,650,Bhandup West,1,1,0
319,2600000,360,Bhayandar East,1,0,1
320,4500000,560,Bhayandar East,1,0,0
321,8320000,1040,Bhayandar East,2,1,0
322,5160000,645,Bhayandar East,1,1,0
323,7320000,999,Bhayandar East,2,1,0
324,5577000,715,Bhayandar East,1,0,0
325,4600000,675,Bhayandar East,1,0,0
326,3100000,365,Bhayandar East,1,0,0
327,6300000,730,Bhayandar East,2,1,0
328,3300000,450,Bhayandar East,1,0,0
329,6600000,750,Bhayandar East,2,1,0
330,5150000,645,Bhayandar East,1,0,0
331,8600000,1227,Bhiwandi,3,1,1
332,5600000,802,Bhiwandi,2,1,1
333,9041000,1530,Bhiwandi,3,1,1
334,9167000,1490,Bhiwandi,3,1,1
335,7881000,1295,Bhiwandi,2,1,1
336,5686000,1017,Bhiwandi,2,1,1
337,4000000,600,Bhiwandi,1,1,1
338,3800000,657,Bhiwandi,1,1,0
339,7900000,1491,Bhiwandi,3,1,1
340,5800000,1021,Bhiwandi,2,0,0
341,5800000,1021,Bhiwandi,2,1,0
342,6000000,1080,Bhiwandi,2,1,1
343,5800000,1080,Bhiwandi,2,1,1
344,5600000,1080,Bhiwandi,2,1,1
345,5500000,1080,Bhiwandi,2,1,1
346,2600000,630,Boisar,2,1,0
347,4200000,1380,Boisar,3,0,0
348,3350000,1160,Boisar,3,0,0
349,2500000,930,Boisar,2,0,0
350,4200000,1120,Boisar,2,0,0
351,2150000,820,Boisar,2,0,0
352,2800000,795,Boisar,2,1,0
353,2331000,740,Boisar,2,1,0
354,4000000,1380,Boisar,3,1,0
355,3500000,1200,Boisar,3,1,0
356,3317000,990,Boisar,3,1,1
357,2500000,930,Boisar,2,1,0
358,2350000,820,Boisar,2,0,0
359,2350000,820,Boisar,2,1,0
360,2100000,780,Boisar,2,0,0
361,2178000,605,Boisar,1,1,1
362,2178000,605,Boisar,1,0,1
363,3877000,1077,Boisar,3,1,1
364,3536000,1105,Boisar,3,1,0
365,2300000,820,Boisar,2,1,0
366,2300000,820,Boisar,2,1,0
367,3200000,785,Boisar,2,1,0
368,3920000,1120,Boisar,3,1,0
369,3600000,1200,Boisar,3,1,0
370,2300000,740,Boisar,2,1,1
371,2600000,930,Boisar,2,0,0
372,2600000,840,Boisar,2,1,1
373,2000000,731,Boisar,2,0,0
374,3900000,999,Boisar,2,1,0
375,2500000,675,Boisar,2,1,0
376,2139000,620,Boisar,1,1,0
377,2050000,513,Boisar,1,1,0
378,2400000,714,Boisar,2,1,1
379,2600000,935,Boisar,2,1,0
380,3500000,1200,Boisar,3,0,0
381,3365999,990,Boisar,3,0,1
382,2057000,605,Boisar,1,0,1
383,3722999,1095,Boisar,3,0,1
